Video,ID Ayam,Ukuran,Estimasi Berat (g)
ayammm.mp4,1,Kecil,344
ayammm.mp4,2,Kecil,344
ayammm.mp4,3,Kecil,362
ayammm.mp4,4,Kecil,454
ayammm.mp4,5,Kecil,407
ayammm.mp4,14,Kecil,926
ayammm.mp4,17,Kecil,351
ayammm.mp4,19,Kecil,740
ayammm.mp4,22,Kecil,675
ayammm.mp4,25,Kecil,444
ayammm.mp4,35,Kecil,321
ayammm.mp4,41,Kecil,305
ayammm.mp4,42,Kecil,330
ayammm.mp4,45,Kecil,578
ayammm.mp4,46,Kecil,374
ayammm.mp4,49,Kecil,342
ayammm.mp4,51,Kecil,489
ayammm.mp4,61,Kecil,300
ayammm.mp4,70,Kecil,321
ayammm.mp4,80,Kecil,312
ayammm.mp4,87,Kecil,383
ayammm.mp4,96,Kecil,325
ayammm.mp4,113,Kecil,331
ayammm.mp4,119,Kecil,315
ayammm.mp4,121,Kecil,555
ayammm.mp4,132,Kecil,511
ayammm.mp4,134,Kecil,340
ayammm.mp4,135,Kecil,500
ayammm.mp4,136,Kecil,347
ayammm.mp4,146,Kecil,359
ayammm.mp4,154,Kecil,405
ayammm.mp4,155,Kecil,664
ayammm.mp4,160,Kecil,366
ayammm.mp4,163,Kecil,337
ayammm.mp4,165,Kecil,516
ayammm.mp4,166,Kecil,357
ayammm.mp4,167,Kecil,932
ayammm.mp4,174,Kecil,522
ayammm.mp4,176,Kecil,353
ayammm.mp4,177,Kecil,899
ayammm.mp4,184,Kecil,346
ayammm.mp4,195,Kecil,307
ayammm.mp4,198,Kecil,485
ayammm.mp4,212,Kecil,348
ayammm.mp4,218,Kecil,915
ayammm.mp4,220,Kecil,468
ayammm.mp4,222,Kecil,358
ayammm.mp4,227,Kecil,336
ayammm.mp4,237,Kecil,493
ayammm.mp4,243,Kecil,569
ayammm.mp4,248,Kecil,337
ayammm.mp4,249,Kecil,564
ayammm.mp4,273,Kecil,367
ayammm.mp4,275,Kecil,305
ayammm.mp4,287,Kecil,339
ayammm.mp4,288,Kecil,300
ayammm.mp4,289,Kecil,424
ayammm.mp4,290,Kecil,385
ayammm.mp4,306,Kecil,310
ayammm.mp4,311,Kecil,528
ayammm.mp4,334,Kecil,412
ayammm.mp4,336,Kecil,374
ayammm.mp4,337,Kecil,347
ayammm.mp4,339,Kecil,416
ayammm.mp4,341,Kecil,322
ayammm.mp4,329,Kecil,309
ayammm.mp4,360,Kecil,423
ayammm.mp4,369,Kecil,367
ayammm.mp4,379,Kecil,464
ayammm.mp4,385,Kecil,393
ayammm.mp4,390,Kecil,784
ayammm.mp4,117,Kecil,301
ayammm.mp4,407,Kecil,680
ayammm.mp4,410,Kecil,366
ayammm.mp4,416,Kecil,355
ayammm.mp4,418,Kecil,336
ayammm.mp4,420,Kecil,404
ayammm.mp4,426,Kecil,419
ayammm.mp4,428,Kecil,351
ayammm.mp4,430,Kecil,331
ayammm.mp4,447,Kecil,368
ayammm.mp4,457,Kecil,320
ayammm.mp4,468,Kecil,385
ayammm.mp4,473,Kecil,352
ayammm.mp4,520,Kecil,368
ayammm.mp4,534,Kecil,472
ayammm.mp4,544,Kecil,437
ayammm.mp4,545,Kecil,381
ayammm.mp4,548,Kecil,390
ayammm.mp4,553,Kecil,381
ayammm.mp4,569,Kecil,771
ayammm.mp4,570,Kecil,394
ayammm.mp4,571,Kecil,411
ayammm.mp4,587,Kecil,451
ayammm.mp4,594,Kecil,345
ayammm.mp4,599,Kecil,411
ayammm.mp4,600,Kecil,385
ayammm.mp4,605,Kecil,353
ayammm.mp4,620,Kecil,370
ayammm.mp4,628,Kecil,381
ayammm.mp4,645,Kecil,399
ayammm.mp4,568,Kecil,300
ayammm.mp4,669,Kecil,392
ayammm.mp4,670,Kecil,397
ayammm.mp4,673,Kecil,649
ayammm.mp4,674,Kecil,310
ayammm.mp4,675,Kecil,552
ayammm.mp4,676,Kecil,329
ayammm.mp4,682,Kecil,352
ayammm.mp4,684,Kecil,669
ayammm.mp4,704,Kecil,354
ayammm.mp4,716,Kecil,311
ayammm.mp4,730,Kecil,377
ayammm.mp4,750,Kecil,309
ayammm.mp4,755,Kecil,341
ayammm.mp4,762,Sedang,961
ayammm.mp4,767,Kecil,328
ayammm.mp4,774,Kecil,321
ayammm.mp4,775,Kecil,429
ayammm.mp4,776,Kecil,668
ayammm.mp4,780,Kecil,393
